model,strategy,kind,combo_set,combo_id,snr,metric,x_mean,x_seed_sd,x_ci_low,x_ci_high,y_mean,y_seed_sd,y_ci_low,y_ci_high,n_seeds,n_bootstrap,n_invalid_x,n_invalid_y
tcn,electrode,bandpass,train,RA_LA_LL,15,macro_auroc,-0.00030828574203847217,0.00016925582258089938,-0.0007252790191647529,0.00011103412934013636,-0.000625775104266757,0.0006583014236562068,-0.0013367257601138815,8.696548016277836e-05,5,2000,0,0
tcn,electrode,bandpass,train,RA_LA_LL,10,macro_auroc,-0.0017608388014606513,0.0007125087163889942,-0.0025739722976749414,-0.000993070226970636,0.000852072388642533,0.0007032561800681882,-0.00011318689739056087,0.0018058805247607237,5,2000,0,0
tcn,electrode,bandpass,train,RA_LA_LL,5,macro_auroc,-0.008032317592900174,0.0038793098075095276,-0.009570719549452997,-0.00657220274270447,0.00738891361621743,0.004341663851884228,0.005750044869073332,0.009062671947422928,5,2000,0,0
tcn,electrode,bandpass,train,RA_LA_LL,0,macro_auroc,-0.028842818941795235,0.013232177582892772,-0.03174286512395653,-0.026077421553375717,0.027614886180745323,0.016698976997734902,0.024749079250515973,0.03060647918420545,5,2000,0,0
tcn,electrode,bandpass,train,RA_LL,20,macro_auroc,-1.8538858413674752e-05,9.948237431697796e-05,-0.00024150808340186124,0.00019444960506737272,-0.0008485273537498283,0.000554716738294268,-0.0014755027946719201,-0.000171927496740666,5,2000,0,0
tcn,electrode,bandpass,train,RA_LL,15,macro_auroc,-0.0002993424563779934,0.00019794285607063807,-0.0007135060625198137,0.00010139493974176016,-0.0006590320837880359,0.0006625691492104253,-0.0013461719452160425,4.022963502785411e-05,5,2000,0,0
tcn,electrode,bandpass,train,RA_LL,10,macro_auroc,-0.0016433001964502925,0.0008809670618840227,-0.002432802110790462,-0.0008878350934368439,0.0006258880771634612,0.0008377526640460315,-0.00028679004875522055,0.001526439499153327,5,2000,0,0
tcn,electrode,bandpass,train,RA_LL,5,macro_auroc,-0.007267047583913699,0.003891474961637356,-0.00874237192265737,-0.005823025053626568,0.006148463684014715,0.003883026224987892,0.004650493910343008,0.00769841498893855,5,2000,0,0
tcn,electrode,bandpass,train,RA_LL,0,macro_auroc,-0.025690681659378156,0.012860942655125525,-0.028386319993570178,-0.023003179160179257,0.022868449072350194,0.013818705820136612,0.020302174446216847,0.025646337090503138,5,2000,0,0
tcn,electrode,bandpass,train,V1,20,macro_auroc,-7.62148110365457e-05,9.607751454670102e-05,-0.00021858383402035498,6.825010761693868e-05,-0.000872754829129696,0.0005352933675646048,-0.0015083203069686357,-0.0002084969251448855,5,2000,0,0
tcn,electrode,bandpass,train,V1,15,macro_auroc,-0.00010897926748838493,0.0001134240701373217,-0.00035648342932283417,0.00014652894076860594,-0.0008513652609163147,0.0006596162245533234,-0.0015468657556039728,-0.0001505738525940132,5,2000,0,0
tcn,electrode,bandpass,train,V1,10,macro_auroc,-0.00020681514253999554,0.000180525559146806,-0.0006184961007362428,0.00021770506054181335,-0.00031020438855628997,0.0006709661477502398,-0.0011769879639191188,0.0005215597480646099,5,2000,0,0
tcn,electrode,bandpass,train,V1,5,macro_auroc,-0.0004575158684871461,0.00038377018200893,-0.001082564039789185,0.00018777895145136262,0.00248312476853787,0.0024574466351678427,0.0012018198201880707,0.003754742668542682,5,2000,0,0
tcn,electrode,bandpass,train,V1,0,macro_auroc,-0.0008345793612233976,0.0007377978040308545,-0.0017930608569249713,0.00014329158134249707,0.012612441527362716,0.012548376134807302,0.010626514352756473,0.014661460318260636,5,2000,0,0
tcn,electrode,bandpass,train,V2,20,macro_auroc,-6.22151380272662e-05,4.0066098601982975e-05,-0.0002130283088111301,7.424648589204162e-05,-0.0008696726124553633,0.0005129952390052233,-0.0015062870192883177,-0.00020624004800069056,5,2000,0,0
tcn,electrode,bandpass,train,V2,15,macro_auroc,-9.705468982568188e-05,8.561290847762167e-05,-0.00033607172664708193,0.00012992163170716712,-0.00083315108473494,0.0006313352944140133,-0.001493080494213514,-0.00014159921083519152,5,2000,0,0
tcn,electrode,bandpass,train,V2,10,macro_auroc,-0.00013826572025030793,0.0001664837173674019,-0.0005313851768502098,0.00022097386092820732,-0.0004448017272433491,0.0008089440702645947,-0.00119025411031714,0.00029557168367419306,5,2000,0,0
tcn,electrode,bandpass,train,V2,5,macro_auroc,-0.0003277110629758218,0.0003428534121520922,-0.0008981975565218742,0.00021233151049551864,0.0011729262393670003,0.001270618342353511,0.00019135636214552665,0.0021231931719773367,5,2000,0,0
tcn,electrode,bandpass,train,V2,0,macro_auroc,-0.0005099372703033067,0.00039838095044932926,-0.0013254641705899995,0.00025775146456860653,0.006534623966066455,0.004281813351554004,0.0051719726642953275,0.00794159734579109,5,2000,0,0
tcn,electrode,bandpass,train,V3,20,macro_auroc,3.246917771408953e-05,3.606414884268472e-05,-4.999897592015856e-05,0.00011324013105797057,-0.0007930622234562535,0.0005527382966335264,-0.0014190627631864977,-0.0001425163597272731,5,2000,0,0
tcn,electrode,bandpass,train,V3,15,macro_auroc,7.237981028482832e-05,5.6226053630320664e-05,-5.5861173583658934e-05,0.00020352206416783422,-0.000694068396162173,0.0007310294635832326,-0.0013344352915888092,-2.690158309649157e-05,5,2000,0,0
tcn,electrode,bandpass,train,V3,10,macro_auroc,0.0001137047963096327,7.578384276550878e-05,-0.00010785028362627848,0.0003286062405899831,-0.00023374085951828328,0.0009631496274342676,-0.0009530732278637815,0.0004882657803219818,5,2000,0,0
tcn,electrode,bandpass,train,V3,5,macro_auroc,0.000221720870018971,7.383313846807943e-05,-0.00013849992069514872,0.0005658893133299974,0.001296900838221271,0.0012982364901776248,0.0004057174938863262,0.0022004117710272223,5,2000,0,0
tcn,electrode,bandpass,train,V3,0,macro_auroc,0.0002888187752966287,0.00015296182320964988,-0.00027030772002737123,0.0008023060118865518,0.006387846626614335,0.005865392393852217,0.005036179716546067,0.007685845194091227,5,2000,0,0
tcn,electrode,bandpass,train,V4,20,macro_auroc,-1.5128054631352583e-05,5.43394737994683e-05,-8.562880675279772e-05,5.4477248195585646e-05,-0.0008233044068831852,0.0004995433608566246,-0.001453838156168491,-0.00017067830572155303,5,2000,0,0
tcn,electrode,bandpass,train,V4,15,macro_auroc,-3.315114217579129e-05,8.858688989484261e-05,-0.00014904083656289756,8.35671167573182e-05,-0.0008154801840559722,0.0006192441480360264,-0.0014380917178298536,-0.000166782072667381,5,2000,0,0
tcn,electrode,bandpass,train,V4,10,macro_auroc,-5.6722869755065905e-05,8.097398449674324e-05,-0.00024275227612904514,0.00013521974007802415,-0.0006760626740631492,0.0009202171090360482,-0.0013477910264085258,2.6726040638636476e-05,5,2000,0,0
tcn,electrode,bandpass,train,V4,5,macro_auroc,-0.00010030814992896264,0.00019018560278441109,-0.0004100444780833812,0.00021329778985234294,8.825395793845558e-05,0.001396677997807451,-0.0007168087065311828,0.0008603365986343978,5,2000,0,0
tcn,electrode,bandpass,train,V4,0,macro_auroc,-8.573852989148811e-05,0.0002794004087318325,-0.0005699574028421899,0.0003960239065135116,0.0029016662326675213,0.002761444684934667,0.0018448398542258045,0.003932705634987498,5,2000,0,0
tcn,electrode,bandpass,train,V5,20,macro_auroc,2.6059154007107566e-06,5.110161347877484e-05,-9.703460011879105e-05,0.00010432834829965195,-0.0008088086488535096,0.00048001990251357753,-0.0014533675706873972,-0.00015039533384546223,5,2000,0,0
tcn,electrode,bandpass,train,V5,15,macro_auroc,-9.179844763851364e-06,0.00011813809644238142,-0.0001845747286991889,0.00016598305574068044,-0.0007852410490812201,0.0005643787753819113,-0.0014249703101766125,-0.00012453181516185107,5,2000,0,0
tcn,electrode,bandpass,train,V5,10,macro_auroc,-5.0734949912101254e-05,0.00020722240405994172,-0.00035738655272056605,0.00023991177809183463,-0.0006322207509765309,0.0007340192113666412,-0.0013139554885495885,5.508445714319353e-05,5,2000,0,0
tcn,electrode,bandpass,train,V5,5,macro_auroc,-0.00010652325647013683,0.00041079547994865416,-0.0006049881773348404,0.00036625801078818453,2.4161193583194242e-05,0.0011201154611435744,-0.0008220631195294159,0.0008332720795793459,5,2000,0,0
tcn,electrode,bandpass,train,V5,0,macro_auroc,-0.0003561503420369316,0.0004971532319361546,-0.0011468446406136439,0.00038187631737220774,0.0028078085103906635,0.002656106382169156,0.001640891593382723,0.003967285582287293,5,2000,0,0
tcn,electrode,bandpass,train,V6,20,macro_auroc,1.3651335950615185e-05,5.230595990289119e-05,-8.953201099572039e-05,0.00011673178466581555,-0.0008135400895024514,0.0004776444104104402,-0.001439677367350755,-0.00015324936222480416,5,2000,0,0
tcn,electrode,bandpass,train,V6,15,macro_auroc,3.941454403950661e-05,0.00010902983497905492,-0.0001326794028199224,0.00021939067453318189,-0.0007813282006967626,0.0005677486189782446,-0.0014137806900576938,-0.00011899190450987916,5,2000,0,0
tcn,electrode,bandpass,train,V6,10,macro_auroc,8.055009365091071e-05,0.00015640863212248337,-0.00022226098775323278,0.0003729523877641554,-0.0005613346511014194,0.0007809221517231153,-0.0012557991397894024,0.00013007956184125913,5,2000,0,0
tcn,electrode,bandpass,train,V6,5,macro_auroc,1.8558125948375804e-05,0.0002828094809259168,-0.0004773186963910958,0.0005157846781808782,0.0002789579646647722,0.001524391223504439,-0.0005572598812139629,0.001075738546197273,5,2000,0,0
tcn,electrode,bandpass,train,V6,0,macro_auroc,-0.00021594307847783156,0.00039610202682764,-0.0010555993516487934,0.0006191488370123444,0.0036938232703100926,0.0036754092217953717,0.002532593471246271,0.00484863904970575,5,2000,0,0
tcn,electrode,bw,all,all,20,macro_auroc,-5.4359181509111566e-05,0.00018515285539850488,-0.00020530858659251083,0.00010140619197703198,-0.000680800970795481,0.000516760328456233,-0.0013160669683440207,-3.2680272402164646e-05,5,2000,0,0
tcn,electrode,bw,all,all,10,macro_auroc,-0.00028343528995227184,0.000619093120051319,-0.000739270174516396,0.000189706952124942,-0.00013787575281456465,0.0007055161378250453,-0.0007614215955793197,0.0005018878355288855,5,2000,0,0
