object,snr,noise_seed,mode,n_valid,n_null,mean,sd,median,q1,q3,iqr,min,max
S_noise,0,505,S_01,100,0,0.31430065355041553,0.009715526827378335,0.31422600626740715,0.3074704417543572,0.3207374986145034,0.013267056860146176,0.29472985955135655,0.3375397121132782
S_input,0,505,S_01,100,0,0.15725132749598847,0.005237577114671825,0.1571404334413279,0.15371032786961922,0.1606933674144809,0.00698303954486168,0.14679539947386225,0.16899055642266872
S_noise,0,505,S_02,100,0,0.23168889129944772,0.009999158304736803,0.23117245621663907,0.22456104327732296,0.23906152705568637,0.01450048377836341,0.21025047866532348,0.25385927794026447
S_input,0,505,S_02,100,0,0.11585785224839602,0.005141710221973747,0.1158976956529586,0.11236226750006233,0.11869314877620767,0.006330881276145339,0.10395067987003945,0.1290315452606714
S_noise,0,505,S_03,100,0,0.5554223748366458,0.010394922263678004,0.5546745287285115,0.5483594860409461,0.5621229101435228,0.013763424102576693,0.5333287192188066,0.5792027866497652
S_input,0,505,S_03,100,0,0.2775206373392,0.005758618723286638,0.27663206621268416,0.2732771497695528,0.28147237990395396,0.008195230134401155,0.26506253042269723,0.29137415550744383
S_noise,0,505,S_04,100,0,0.4988106814841391,0.009522656067269618,0.49813110834955765,0.49218745579001194,0.5049242127658593,0.012736756975847363,0.47901681138970686,0.521757741330621
S_input,0,505,S_04,100,0,0.24926591206193233,0.004907353442663976,0.24848031561073275,0.24591498703603928,0.25201471765900674,0.006099730622967453,0.23953748543825945,0.2643735046707444
E_noise,5,8128,,100,0,1.0833259793508244e-15,1.734952081219542e-16,1.0749450720997966e-15,9.606431459513552e-16,1.190825241376963e-15,2.3018209542560776e-16,7.433201274447628e-16,1.6833875720016566e-15
E_input,5,8128,,100,0,9.275623727085163e-07,5.495654136953254e-07,8.824173344002425e-07,5.882859055105159e-07,1.104855460702674e-06,5.165695551921581e-07,4.6966129076985716e-08,3.083521237059993e-06
I_noise,5,8128,,100,0,0.37423753763032086,0.007783872005554591,0.3754429285718758,0.36841321097239865,0.3797276005685183,0.011314389596119634,0.355183596240578,0.39082079855713253
