model,kind,snr,active,comparison,condition,metric,seed,left_value,right_value,difference,n_seeds,mean_difference,std,ci95_low,ci95_high
resnet,bandpass,10,LL,noisy_minus_clean,independent_rms,macro_f1,17,0.6812943150494231,0.7118815125857424,-0.030587197536319333,3,-0.02194801665105106,0.00934726305966328,-0.04516790531892364,0.0012718720168215167
resnet,bandpass,10,LL,noisy_minus_clean,independent_rms,macro_f1,29,0.6990266280959412,0.7222581554037724,-0.02323152730783118,3,-0.02194801665105106,0.00934726305966328,-0.04516790531892364,0.0012718720168215167
resnet,bandpass,10,LL,noisy_minus_clean,independent_rms,macro_f1,43,0.7070424984787922,0.7190678235877949,-0.012025325109002671,3,-0.02194801665105106,0.00934726305966328,-0.04516790531892364,0.0012718720168215167
resnet,bandpass,10,RA,noisy_minus_clean,covariance,macro_auroc,17,0.891454699451929,0.9068922993183458,-0.015437599866416796,3,-0.011856489413475798,0.0035679340694959815,-0.020719728988439753,-0.002993249838511845
resnet,bandpass,10,RA,noisy_minus_clean,covariance,macro_auroc,29,0.8960812724006691,0.907911261424449,-0.011829989023779852,3,-0.011856489413475798,0.0035679340694959815,-0.020719728988439753,-0.002993249838511845
resnet,bandpass,10,RA,noisy_minus_clean,covariance,macro_auroc,43,0.900398625173082,0.9087005045233127,-0.008301879350230745,3,-0.011856489413475798,0.0035679340694959815,-0.020719728988439753,-0.002993249838511845
resnet,bandpass,10,RA,noisy_minus_clean,covariance,macro_ap,17,0.7579956157743676,0.7807184945903615,-0.022722878815993885,3,-0.017962625588342235,0.004699399795198465,-0.02963658184204185,-0.006288669334642619
resnet,bandpass,10,RA,noisy_minus_clean,covariance,macro_ap,29,0.7730783867233609,0.7909168445498038,-0.01783845782644289,3,-0.017962625588342235,0.004699399795198465,-0.02963658184204185,-0.006288669334642619
resnet,bandpass,10,RA,noisy_minus_clean,covariance,macro_ap,43,0.7732449443922442,0.7865714845148342,-0.013326540122589936,3,-0.017962625588342235,0.004699399795198465,-0.02963658184204185,-0.006288669334642619
resnet,bandpass,10,RA,noisy_minus_clean,covariance,macro_f1,17,0.681868656515888,0.7118815125857424,-0.030012856069854377,3,-0.02338782685020291,0.008811004048288539,-0.04527557428467005,-0.0015000794157357666
resnet,bandpass,10,RA,noisy_minus_clean,covariance,macro_f1,29,0.6954958757477403,0.7222581554037724,-0.026762279656032062,3,-0.02338782685020291,0.008811004048288539,-0.04527557428467005,-0.0015000794157357666
resnet,bandpass,10,RA,noisy_minus_clean,covariance,macro_f1,43,0.7056794787630726,0.7190678235877949,-0.013388344824722287,3,-0.02338782685020291,0.008811004048288539,-0.04527557428467005,-0.0015000794157357666
resnet,bandpass,10,RA,noisy_minus_clean,electrode,macro_auroc,17,0.8918538960470105,0.9068922993183458,-0.015038403271335321,3,-0.012276512117807522,0.0027715649418658195,-0.019161461110376195,-0.00539156312523885
resnet,bandpass,10,RA,noisy_minus_clean,electrode,macro_auroc,29,0.8956155019791853,0.907911261424449,-0.012295759445263732,3,-0.012276512117807522,0.0027715649418658195,-0.019161461110376195,-0.00539156312523885
resnet,bandpass,10,RA,noisy_minus_clean,electrode,macro_auroc,43,0.8992051308864892,0.9087005045233127,-0.009495373636823512,3,-0.012276512117807522,0.0027715649418658195,-0.019161461110376195,-0.00539156312523885
resnet,bandpass,10,RA,noisy_minus_clean,electrode,macro_ap,17,0.7574965788173376,0.7807184945903615,-0.023221915773023905,3,-0.02124916923227445,0.002025406715393421,-0.026280558435553266,-0.016217780028995637
