model,kind,snr,condition,active,metric,mean,n_seeds,rank,n_models,interpretation
tcn,bandpass,10,independent_rms,LA,macro_f1,0.7292531669913198,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,independent_rms,LL,macro_ap,0.768759720559998,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,independent_rms,LL,macro_ap,0.8047641640394199,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,independent_rms,LL,macro_auroc,0.8979594986614187,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,independent_rms,LL,macro_auroc,0.9159464760529619,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,independent_rms,LL,macro_f1,0.6957878138747189,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,independent_rms,LL,macro_f1,0.7295691766488362,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,independent_rms,RA,macro_ap,0.7699114873697904,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,independent_rms,RA,macro_ap,0.8054949265592235,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,independent_rms,RA,macro_auroc,0.8987214543665601,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,independent_rms,RA,macro_auroc,0.9165168338226811,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,independent_rms,RA,macro_f1,0.6983526789464358,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,independent_rms,RA,macro_f1,0.7303770513840936,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,independent_rms,V1,macro_ap,0.769210873453778,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,independent_rms,V1,macro_ap,0.8059899673106337,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,independent_rms,V1,macro_auroc,0.8978155542855183,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,independent_rms,V1,macro_auroc,0.9167629102311681,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,independent_rms,V1,macro_f1,0.6965544710142701,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,independent_rms,V1,macro_f1,0.7268333278305855,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,independent_rms,V2,macro_ap,0.7722088442688911,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,independent_rms,V2,macro_ap,0.8062724386523467,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,independent_rms,V2,macro_auroc,0.8992302876227316,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,independent_rms,V2,macro_auroc,0.9166254735009796,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,independent_rms,V2,macro_f1,0.69778359477707,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,independent_rms,V2,macro_f1,0.7307540938744547,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,independent_rms,V3,macro_ap,0.7748559141044641,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,independent_rms,V3,macro_ap,0.8075014522075049,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,independent_rms,V3,macro_auroc,0.9008713711971751,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,independent_rms,V3,macro_auroc,0.9172232476180401,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,independent_rms,V3,macro_f1,0.7011000587973686,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,independent_rms,V3,macro_f1,0.7340256104844114,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,independent_rms,V4,macro_ap,0.7739123848613075,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,independent_rms,V4,macro_ap,0.8072000222629286,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,independent_rms,V4,macro_auroc,0.9012137226521754,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,independent_rms,V4,macro_auroc,0.9174939539263028,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,independent_rms,V4,macro_f1,0.7028875213357669,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,independent_rms,V4,macro_f1,0.7356508600230652,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,independent_rms,V5,macro_ap,0.7714923035340036,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,independent_rms,V5,macro_ap,0.8058862742554749,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,independent_rms,V5,macro_auroc,0.8993596562471131,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,independent_rms,V5,macro_auroc,0.916959164865657,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,independent_rms,V5,macro_f1,0.6984264234571672,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,independent_rms,V5,macro_f1,0.7336277378467392,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,independent_rms,V6,macro_ap,0.7713454828605443,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,independent_rms,V6,macro_ap,0.8063427949386178,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,independent_rms,V6,macro_auroc,0.8993999656080848,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,independent_rms,V6,macro_auroc,0.917177058552911,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,independent_rms,V6,macro_f1,0.6994211046899315,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,independent_rms,V6,macro_f1,0.7312754971348747,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,independent_rms,all,macro_ap,0.7700274266388473,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
tcn,bandpass,10,independent_rms,all,macro_ap,0.805693959379917,3,1.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
resnet,bandpass,10,independent_rms,all,macro_auroc,0.8990906325755031,3,2.0,2,descriptive_unstable_two_architectures_no_meaningful_inference
