kind,snr,condition,active,metric,n_models,spearman,kendall,spearman_p_value,kendall_p_value,interpretation
ma,0,independent_rms,all,macro_auroc,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
ma,0,independent_rms,all,macro_f1,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
ma,10,covariance,all,macro_ap,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
ma,10,covariance,all,macro_auroc,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
ma,10,covariance,all,macro_f1,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
ma,10,electrode,all,macro_ap,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
ma,10,electrode,all,macro_auroc,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
ma,10,electrode,all,macro_f1,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
ma,10,independent,all,macro_ap,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
ma,10,independent,all,macro_auroc,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
ma,10,independent,all,macro_f1,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
ma,10,independent_rms,all,macro_ap,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
ma,10,independent_rms,all,macro_auroc,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
ma,10,independent_rms,all,macro_f1,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
ma,20,covariance,all,macro_ap,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
ma,20,covariance,all,macro_auroc,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
ma,20,covariance,all,macro_f1,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
ma,20,electrode,all,macro_ap,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
ma,20,electrode,all,macro_auroc,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
ma,20,electrode,all,macro_f1,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
ma,20,independent,all,macro_ap,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
ma,20,independent,all,macro_auroc,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
ma,20,independent,all,macro_f1,2,0.9999999999999999,1.0,,,descriptive_unstable_two_architectures_no_meaningful_inference
