kind,condition,lead_i,lead_j,covariance
bandpass,electrode,V5,I,-3.21000506712494e-05
bandpass,electrode,V5,II,-1.0251939423415774e-05
bandpass,electrode,V5,III,2.184811124783362e-05
bandpass,electrode,V5,aVR,2.1175995047332602e-05
bandpass,electrode,V5,aVL,-2.6974080959541513e-05
bandpass,electrode,V5,aVF,5.7980859122089225e-06
bandpass,electrode,V5,V1,0.0011418175174033446
bandpass,electrode,V5,V2,0.001137307700859192
bandpass,electrode,V5,V3,0.0011384937010275947
bandpass,electrode,V5,V4,0.0011463525792761748
bandpass,electrode,V5,V5,0.0045702220410553706
bandpass,electrode,V5,V6,0.0011259433565582381
bandpass,electrode,V6,I,-8.45790312809472e-06
bandpass,electrode,V6,II,1.0841014098044814e-05
bandpass,electrode,V6,III,1.929891722613957e-05
bandpass,electrode,V6,aVR,-1.191555484975053e-06
bandpass,electrode,V6,aVL,-1.387841017711715e-05
bandpass,electrode,V6,aVF,1.5069965662092186e-05
bandpass,electrode,V6,V1,0.0011314978389216127
bandpass,electrode,V6,V2,0.0011284843751625242
bandpass,electrode,V6,V3,0.0011343940883748994
bandpass,electrode,V6,V4,0.001142366397766679
bandpass,electrode,V6,V5,0.0011259433565582381
bandpass,electrode,V6,V6,0.004551776702068673
bandpass,covariance,I,I,0.006845597338797957
bandpass,covariance,I,II,0.0034367696120173046
bandpass,covariance,I,III,-0.0034088277267806536
bandpass,covariance,I,aVR,-0.005141183475407632
bandpass,covariance,I,aVL,0.005127212532789306
bandpass,covariance,I,aVF,1.3970942618325707e-05
bandpass,covariance,I,V1,-2.3170377876617295e-05
bandpass,covariance,I,V2,-2.273093910765424e-06
bandpass,covariance,I,V3,-1.879526029094566e-05
bandpass,covariance,I,V4,-7.894728985727202e-06
bandpass,covariance,I,V5,-3.210005067124947e-05
bandpass,covariance,I,V6,-8.457903128094886e-06
bandpass,covariance,II,I,0.0034367696120173046
bandpass,covariance,II,II,0.006853265131280618
bandpass,covariance,II,III,0.003416495519263318
bandpass,covariance,II,aVR,-0.005145017371648964
bandpass,covariance,II,aVL,1.0137046376993711e-05
bandpass,covariance,II,aVF,0.005134880325271972
bandpass,covariance,II,V1,7.015759368334404e-06
bandpass,covariance,II,V2,-4.465309541012986e-06
bandpass,covariance,II,V3,-3.792132778141664e-05
bandpass,covariance,II,V4,5.834067557922253e-06
bandpass,covariance,II,V5,-1.0251939423415676e-05
bandpass,covariance,II,V6,1.0841014098044965e-05
bandpass,covariance,III,I,-0.0034088277267806536
bandpass,covariance,III,II,0.003416495519263318
bandpass,covariance,III,III,0.006825323246043969
bandpass,covariance,III,aVR,-3.833896241332555e-06
bandpass,covariance,III,aVL,-0.005117075486412313
bandpass,covariance,III,aVF,0.005120909382653644
bandpass,covariance,III,V1,3.0186137244951703e-05
bandpass,covariance,III,V2,-2.192215630247661e-06
bandpass,covariance,III,V3,-1.912606749047093e-05
bandpass,covariance,III,V4,1.3728796543649517e-05
bandpass,covariance,III,V5,2.1848111247833934e-05
bandpass,covariance,III,V6,1.9298917226139998e-05
bandpass,covariance,aVR,I,-0.005141183475407632
bandpass,covariance,aVR,II,-0.005145017371648964
bandpass,covariance,aVR,III,-3.833896241332555e-06
bandpass,covariance,aVR,aVR,0.005143100423528296
bandpass,covariance,aVR,aVL,-0.002568674789583149
bandpass,covariance,aVR,aVF,-0.002574425633945149
bandpass,covariance,aVR,V1,8.077309254141539e-06
bandpass,covariance,aVR,V2,3.3692017258892996e-06
bandpass,covariance,aVR,V3,2.83582940361812e-05
bandpass,covariance,aVR,V4,1.030330713902659e-06
bandpass,covariance,aVR,V5,2.1175995047332548e-05
bandpass,covariance,aVR,V6,-1.1915554849750978e-06
bandpass,covariance,aVL,I,0.005127212532789306
bandpass,covariance,aVL,II,1.0137046376993711e-05
bandpass,covariance,aVL,III,-0.005117075486412313
bandpass,covariance,aVL,aVR,-0.002568674789583149
bandpass,covariance,aVL,aVL,0.005122144009600807
bandpass,covariance,aVL,aVF,-0.002553469220017661
bandpass,covariance,aVL,V1,-2.6678257560784286e-05
bandpass,covariance,aVL,V2,-4.0439140258947674e-08
bandpass,covariance,aVL,V3,1.6540359976281317e-07
bandpass,covariance,aVL,V4,-1.0811762764688165e-05
bandpass,covariance,aVL,V5,-2.6974080959541584e-05
bandpass,covariance,aVL,V6,-1.3878410177117416e-05
bandpass,covariance,aVF,I,1.3970942618325707e-05
bandpass,covariance,aVF,II,0.005134880325271972
bandpass,covariance,aVF,III,0.005120909382653644
bandpass,covariance,aVF,aVR,-0.002574425633945149
bandpass,covariance,aVF,aVL,-0.002553469220017661
bandpass,covariance,aVF,aVF,0.005127894853962808
bandpass,covariance,aVF,V1,1.8600948306642944e-05
bandpass,covariance,aVF,V2,-3.328762585630221e-06
bandpass,covariance,aVF,V3,-2.8523697635943854e-05
bandpass,covariance,aVF,V4,9.781432050785722e-06
bandpass,covariance,aVF,V5,5.798085912209147e-06
bandpass,covariance,aVF,V6,1.5069965662092389e-05
bandpass,covariance,V1,I,-2.3170377876617295e-05
bandpass,covariance,V1,II,7.015759368334404e-06
bandpass,covariance,V1,III,3.0186137244951703e-05
bandpass,covariance,V1,aVR,8.077309254141539e-06
bandpass,covariance,V1,aVL,-2.6678257560784286e-05
bandpass,covariance,V1,aVF,1.8600948306642944e-05
bandpass,covariance,V1,V1,0.004590569936054047
bandpass,covariance,V1,V2,0.0011419656363581394
bandpass,covariance,V1,V3,0.0011204393826104227
bandpass,covariance,V1,V4,0.001176110196088121
bandpass,covariance,V1,V5,0.0011418175174033446
bandpass,covariance,V1,V6,0.0011314978389216125
bandpass,covariance,V2,I,-2.273093910765424e-06
bandpass,covariance,V2,II,-4.465309541012986e-06
