model,seed,group_id,metric,strategy,value,rank
resnet,17,bandpass__combo_V4__independent_rms__s5,macro_auroc,clean_only,0.8593348822107053,4.0
resnet,17,bandpass__combo_V4__independent_rms__s5,macro_ap,clean_only,0.6911408204891176,4.0
resnet,17,bandpass__combo_V4__independent_rms__s5,macro_f1,clean_only,0.6411248378068141,2.0
resnet,17,bandpass__combo_V4__independent_rms__s5,brier,clean_only,0.1204780414700508,1.0
resnet,17,bandpass__combo_V4__independent_rms__s5,ece,clean_only,0.069243215669319,1.0
resnet,17,bandpass__combo_V4__independent_rms__s0,macro_auroc,clean_only,0.8170019011496583,4.0
resnet,17,bandpass__combo_V4__independent_rms__s0,macro_ap,clean_only,0.6084469819240809,4.0
resnet,17,bandpass__combo_V4__independent_rms__s0,macro_f1,clean_only,0.568872171329478,1.0
resnet,17,bandpass__combo_V4__independent_rms__s0,brier,clean_only,0.1410772949457168,2.0
resnet,17,bandpass__combo_V4__independent_rms__s0,ece,clean_only,0.0755717466019093,1.0
resnet,17,bandpass__combo_V4__electrode__s10,macro_auroc,clean_only,0.8685757818726012,4.0
resnet,17,bandpass__combo_V4__electrode__s10,macro_ap,clean_only,0.7089885501333327,3.0
resnet,17,bandpass__combo_V4__electrode__s10,macro_f1,clean_only,0.6512432177152443,4.0
resnet,17,bandpass__combo_V4__electrode__s10,brier,clean_only,0.1164481416344642,1.0
resnet,17,bandpass__combo_V4__electrode__s10,ece,clean_only,0.0708410735797137,2.0
resnet,17,bandpass__combo_V4__electrode__s5,macro_auroc,clean_only,0.8591604183606231,4.0
resnet,17,bandpass__combo_V4__electrode__s5,macro_ap,clean_only,0.6887201871290587,3.0
resnet,17,bandpass__combo_V4__electrode__s5,macro_f1,clean_only,0.6298280053765282,2.0
resnet,17,bandpass__combo_V4__electrode__s5,brier,clean_only,0.1203027218580246,1.0
resnet,17,bandpass__combo_V4__electrode__s5,ece,clean_only,0.0700540379568934,2.0
resnet,17,bandpass__combo_V4__electrode__s0,macro_auroc,clean_only,0.8198873761970613,4.0
resnet,17,bandpass__combo_V4__electrode__s0,macro_ap,clean_only,0.6173921450135472,2.0
resnet,17,bandpass__combo_V4__electrode__s0,macro_f1,clean_only,0.5680393384772711,1.0
resnet,17,bandpass__combo_V4__electrode__s0,brier,clean_only,0.1401930898427963,2.0
resnet,17,bandpass__combo_V4__electrode__s0,ece,clean_only,0.0822558747101575,1.0
resnet,17,bandpass__combo_V4__covariance__s10,macro_auroc,clean_only,0.8666927869067702,4.0
resnet,17,bandpass__combo_V4__covariance__s10,macro_ap,clean_only,0.7053677137397534,4.0
resnet,17,bandpass__combo_V4__covariance__s10,macro_f1,clean_only,0.6563338177488458,3.0
resnet,17,bandpass__combo_V4__covariance__s10,brier,clean_only,0.1175995394587516,2.0
resnet,17,bandpass__combo_V4__covariance__s10,ece,clean_only,0.070157283642888,2.0
resnet,17,bandpass__combo_V4__covariance__s5,macro_auroc,clean_only,0.8574213062485766,4.0
resnet,17,bandpass__combo_V4__covariance__s5,macro_ap,clean_only,0.6834614316993353,4.0
resnet,17,bandpass__combo_V4__covariance__s5,macro_f1,clean_only,0.6330037469782651,2.0
resnet,17,bandpass__combo_V4__covariance__s5,brier,clean_only,0.1220210716128349,1.0
resnet,17,bandpass__combo_V4__covariance__s5,ece,clean_only,0.0696811507415026,1.0
resnet,17,bandpass__combo_V4__covariance__s0,macro_auroc,clean_only,0.8103194536664109,4.0
resnet,17,bandpass__combo_V4__covariance__s0,macro_ap,clean_only,0.5976578050059527,4.0
resnet,17,bandpass__combo_V4__covariance__s0,macro_f1,clean_only,0.5585314014178023,1.0
resnet,17,bandpass__combo_V4__covariance__s0,brier,clean_only,0.143346682190895,2.0
resnet,17,bandpass__combo_V4__covariance__s0,ece,clean_only,0.0791460465349257,1.0
resnet,17,bandpass__combo_V5__independent_rms__s10,macro_auroc,clean_only,0.8683182018936254,4.0
resnet,17,bandpass__combo_V5__independent_rms__s10,macro_ap,clean_only,0.7103671981139879,4.0
resnet,17,bandpass__combo_V5__independent_rms__s10,macro_f1,clean_only,0.6661423632726433,2.0
resnet,17,bandpass__combo_V5__independent_rms__s10,brier,clean_only,0.1176164522767067,2.0
resnet,17,bandpass__combo_V5__independent_rms__s10,ece,clean_only,0.0761089155212044,2.0
resnet,17,bandpass__combo_V5__independent_rms__s5,macro_auroc,clean_only,0.8564156799394909,4.0
resnet,17,bandpass__combo_V5__independent_rms__s5,macro_ap,clean_only,0.6874106730384039,4.0
resnet,17,bandpass__combo_V5__independent_rms__s5,macro_f1,clean_only,0.643268208227378,4.0
resnet,17,bandpass__combo_V5__independent_rms__s5,brier,clean_only,0.1239982694387435,2.0
resnet,17,bandpass__combo_V5__independent_rms__s5,ece,clean_only,0.073759744752571,2.0
resnet,17,bandpass__combo_V5__independent_rms__s0,macro_auroc,clean_only,0.8103242558484034,4.0
