model,kind,snr,condition,active,metric,outcome,noise_seed,uncertainty,n_seeds,mean,std,ci95_low,ci95_high
resnet,bandpass,0,electrode,all,f1_STTC,normalized_robustness,8128,training_seed_student_t_95,3,0.6970776468525139,0.03914933126771246,0.5998253166617883,0.7943299770432396
resnet,bandpass,0,electrode,all,macro_ap,absolute,8128,training_seed_student_t_95,3,0.6382560543930028,0.019851886014252557,0.5889412356962402,0.6875708730897654
resnet,bandpass,0,electrode,all,macro_ap,clean_drop,8128,training_seed_student_t_95,3,0.1478128868253303,0.01660168380191738,0.10657201801494381,0.1890537556357168
resnet,bandpass,0,electrode,all,macro_ap,normalized_robustness,8128,training_seed_student_t_95,3,0.811903950344894,0.021878010972260647,0.7575559582312874,0.8662519424585007
resnet,bandpass,0,electrode,all,macro_auroc,absolute,8128,training_seed_student_t_95,3,0.8152550734909578,0.015571776693042593,0.7765726357692952,0.8539375112126204
resnet,bandpass,0,electrode,all,macro_auroc,clean_drop,8128,training_seed_student_t_95,3,0.09257961493107796,0.014665247165969465,0.05614912139440501,0.1290101084677509
resnet,bandpass,0,electrode,all,macro_auroc,normalized_robustness,8128,training_seed_student_t_95,3,0.8980106822723884,0.01625794943375622,0.8576236969687652,0.9383976675760117
resnet,bandpass,0,electrode,all,macro_f1,absolute,8128,training_seed_student_t_95,3,0.48588955782737747,0.029426469445600734,0.41279015535479774,0.5589889602999571
resnet,bandpass,0,electrode,all,macro_f1,clean_drop,8128,training_seed_student_t_95,3,0.2318462726983924,0.0291802921744649,0.1593584084688094,0.3043341369279754
resnet,bandpass,0,electrode,all,macro_f1,normalized_robustness,8128,training_seed_student_t_95,3,0.6769719266701748,0.040518786884371084,0.5763176801375813,0.7776261732027683
resnet,bandpass,0,electrode,all,mean_confidence,absolute,8128,training_seed_student_t_95,3,0.780563215414683,0.033657014115116235,0.6969545573874457,0.8641718734419203
resnet,bandpass,0,electrode,all,mean_entropy,absolute,8128,training_seed_student_t_95,3,0.46299134057153785,0.04577918947572954,0.34926952958292357,0.5767131515601521
resnet,bandpass,0,electrode,all,mean_loss,absolute,8128,training_seed_student_t_95,3,0.5290077473517613,0.05092873171566237,0.4024937642868371,0.6555217304166854
