kind,snr,metric,n,undefined,mean,sd,max
bandpass,20,V5_welch_total_reference_mv2,2158,0,0.0004608478724491458,0.0006078257351276049,0.014719757648086364
bandpass,20,V5_welch_relative_l1,2158,0,0.45810544456196195,0.04068888802981467,0.6013066214950009
bandpass,20,V5_requested_reference_mv2,2158,0,0.0004573841333927727,0.0006034221138021803,0.014631304538262078
bandpass,20,V5_requested_abs_error_mv2,2158,0,1.5641061809067614e-05,2.7133451931287677e-05,0.0005039704219407613
bandpass,20,V5_requested_relative_band_error,2158,0,0.03437244847629695,0.026013466176178904,0.19019606279174422
bandpass,20,V5_requested_relative_total_error,2158,0,0.03411321050814376,0.02581575921747065,0.18890860374228577
bandpass,20,V5_baseline_0_0.5_reference_mv2,2158,0,1.9267141617629947e-06,2.9485988427608184e-06,5.819733943624669e-05
bandpass,20,V5_baseline_0_0.5_abs_error_mv2,2158,0,1.1163891152060082e-06,1.8189442584808482e-06,2.5996018181776763e-05
bandpass,20,V5_baseline_0_0.5_relative_band_error,2158,0,0.849596898190028,1.2563842023763754,18.681950374974345
bandpass,20,V5_baseline_0_0.5_relative_total_error,2158,0,0.002525467699108352,0.002160439485023733,0.01721562293198067
bandpass,20,V5_ecg_0.5_40_reference_mv2,2158,0,0.0004573841333927727,0.0006034221138021803,0.014631304538262078
bandpass,20,V5_ecg_0.5_40_abs_error_mv2,2158,0,1.5641061809067614e-05,2.7133451931287677e-05,0.0005039704219407613
bandpass,20,V5_ecg_0.5_40_relative_band_error,2158,0,0.03437244847629695,0.026013466176178904,0.19019606279174422
bandpass,20,V5_ecg_0.5_40_relative_total_error,2158,0,0.03411321050814376,0.02581575921747065,0.18890860374228577
bandpass,20,V5_high_40_nyquist_reference_mv2,2158,0,1.537024894609722e-06,2.2674923740875785e-06,3.61109235932916e-05
bandpass,20,V5_high_40_nyquist_abs_error_mv2,2158,0,8.899751220651003e-07,1.9590374685560515e-06,6.0280380580785716e-05
bandpass,20,V5_high_40_nyquist_relative_band_error,2158,0,0.7219560870749796,0.9541631587285994,12.126131313933032
bandpass,20,V5_high_40_nyquist_relative_total_error,2158,0,0.001884602783173283,0.001644115847353274,0.010041090897530193
bandpass,20,V6_welch_total_reference_mv2,2158,0,0.0004615217804409588,0.000616571986670084,0.015362361112339825
bandpass,20,V6_welch_relative_l1,2158,0,0.459658138395687,0.04009391063880745,0.6416802061773498
bandpass,20,V6_requested_reference_mv2,2158,0,0.0004580063919760141,0.0006124327831597167,0.015281178738692237
bandpass,20,V6_requested_abs_error_mv2,2158,0,1.5138833449753766e-05,2.5477900878696904e-05,0.0005984302141909936
bandpass,20,V6_requested_relative_band_error,2158,0,0.0337786906304713,0.02560504738263025,0.17307533011972215
bandpass,20,V6_requested_relative_total_error,2158,0,0.033520535294083616,0.025410641484738133,0.17184293513476492
bandpass,20,V6_baseline_0_0.5_reference_mv2,2158,0,1.943616798562414e-06,2.7313846563356394e-06,4.2198036168669776e-05
bandpass,20,V6_baseline_0_0.5_abs_error_mv2,2158,0,1.216765291815742e-06,2.264096463053165e-06,4.175012505339684e-05
bandpass,20,V6_baseline_0_0.5_relative_band_error,2158,0,0.8072801400433454,1.0933509837197108,17.18809340372234
bandpass,20,V6_baseline_0_0.5_relative_total_error,2158,0,0.0025615176494604122,0.002206135253630761,0.015363727040821144
bandpass,20,V6_ecg_0.5_40_reference_mv2,2158,0,0.0004580063919760141,0.0006124327831597167,0.015281178738692237
bandpass,20,V6_ecg_0.5_40_abs_error_mv2,2158,0,1.5138833449753766e-05,2.5477900878696904e-05,0.0005984302141909936
bandpass,20,V6_ecg_0.5_40_relative_band_error,2158,0,0.0337786906304713,0.02560504738263025,0.17307533011972215
bandpass,20,V6_ecg_0.5_40_relative_total_error,2158,0,0.033520535294083616,0.025410641484738133,0.17184293513476492
bandpass,20,V6_high_40_nyquist_reference_mv2,2158,0,1.5717716663828583e-06,2.219706833819831e-06,3.8984337478914454e-05
